STATION,DATE,avg(TEMP)
7577,20130513,15.2625000000
7577,20130514,17.5375000000
7577,20130515,14.5500000000
7577,20130516,10.2875000000
7577,20130517,11.4625000000
7577,20130518,11.6625000000
7577,20130519,13.8375000000
7577,20130520,12.6375000000
7577,20130521,12.4000000000
7577,20130522,13.7000000000
7577,20130523,12.5750000000
7577,20130524,9.9250000000
7577,20130525,9.7250000000
7577,20130526,12.4375000000
7577,20130527,14.8000000000
7577,20130528,12.3625000000
7577,20130529,9.5625000000
7577,20130530,10.9250000000
7577,20130531,10.0000000000
7591,20130501,14.8875000000
7591,20130502,12.1250000000
7591,20130503,11.7625000000
7591,20130504,12.1250000000
7591,20130505,12.2750000000
7591,20130506,13.5875000000
7591,20130507,12.3250000000
7591,20130508,15.2125000000
7591,20130509,15.8750000000
7591,20130510,14.1125000000
7591,20130511,11.0000000000
7591,20130512,9.5750000000
7591,20130513,11.7500000000
7591,20130514,13.5625000000
7591,20130515,10.6875000000
7591,20130516,9.3000000000
7591,20130517,8.3375000000
7591,20130518,7.3500000000
7591,20130519,5.5750000000
7591,20130520,9.1875000000
7591,20130521,10.1375000000
7591,20130522,11.3375000000
7591,20130523,9.4500000000
7591,20130524,6.9625000000
7591,20130525,5.1625000000
7591,20130526,8.1000000000
7591,20130527,11.4375000000
7591,20130528,10.3250000000
7591,20130529,7.6750000000
7591,20130530,8.7375000000
7591,20130531,4.1000000000
7607,20130501,11.1625000000
7607,20130502,12.1625000000
7607,20130503,13.1875000000
7607,20130504,13.7875000000
7607,20130505,14.9250000000
7607,20130506,16.6250000000
7607,20130507,17.3125000000
7607,20130508,16.8875000000
7607,20130509,13.3750000000
7607,20130510,12.1500000000
7607,20130511,12.1125000000
7607,20130512,12.9500000000
7607,20130513,13.5625000000
7607,20130514,13.8125000000
7607,20130515,11.2625000000
7607,20130516,10.0875000000
7607,20130517,10.4625000000
7607,20130518,9.8625000000
7607,20130519,12.4500000000
7607,20130520,10.9500000000
7607,20130521,11.0750000000
7607,20130522,13.7750000000
7607,20130523,12.1250000000
7607,20130524,9.6875000000
7607,20130525,11.3500000000
7607,20130526,11.7500000000
7607,20130527,14.1500000000
7607,20130528,12.4125000000
7607,20130529,10.0000000000
7607,20130530,11.9625000000
7607,20130531,12.3000000000
7621,20130501,10.8250000000
7621,20130502,9.9375000000
7621,20130503,11.0625000000
7621,20130504,12.6000000000
7621,20130505,13.4500000000
7621,20130506,16.1375000000
7621,20130507,16.6500000000
7621,20130508,16.4250000000
7621,20130509,13.8500000000
7621,20130510,10.8125000000
7621,20130511,11.2000000000
7621,20130512,11.4875000000
7621,20130513,12.9750000000
7621,20130514,13.9750000000
7621,20130515,8.0875000000
7621,20130516,8.1250000000
7621,20130517,9.1750000000
7621,20130518,8.7750000000
7621,20130519,9.8875000000
7621,20130520,9.8625000000
7621,20130521,9.1500000000
7621,20130522,10.6250000000
7621,20130523,10.3875000000
7621,20130524,8.0500000000
7621,20130525,8.7625000000
7621,20130526,10.6000000000
7621,20130527,12.8375000000
7621,20130528,9.6125000000
7621,20130529,7.6500000000
7621,20130530,9.5000000000
7621,20130531,9.8000000000
7627,20130501,10.4625000000
7627,20130502,9.5375000000
7627,20130503,10.4375000000
7627,20130504,12.4000000000
7627,20130505,13.8250000000
7627,20130506,14.9875000000
7627,20130507,16.3750000000
7627,20130508,16.2125000000
7627,20130509,14.7125000000
7627,20130510,9.8875000000
7627,20130511,11.2625000000
7627,20130512,11.6125000000
7627,20130513,13.4000000000
7627,20130514,14.1571428571
7627,20130515,8.5375000000
7627,20130516,7.5375000000
7627,20130517,10.1250000000
7627,20130518,9.4250000000
7627,20130519,11.0250000000
7627,20130520,9.8125000000
7627,20130521,9.5625000000
7627,20130522,10.8625000000
7627,20130523,10.2250000000
7627,20130524,8.3875000000
7627,20130525,8.6250000000
7627,20130526,9.3125000000
7627,20130527,12.3250000000
7627,20130528,8.3250000000
7627,20130529,7.5875000000
7627,20130530,8.8250000000
7627,20130531,9.9000000000
7630,20130501,13.5375000000
7630,20130502,12.5750000000
7630,20130503,13.1500000000
7630,20130504,14.5125000000
7630,20130505,16.4375000000
7630,20130506,16.9750000000
7630,20130507,17.1375000000
7630,20130508,18.0500000000
7630,20130509,15.8875000000
7630,20130510,13.1500000000
7630,20130511,13.0000000000
7630,20130512,13.2000000000
7630,20130513,14.3250000000
7630,20130514,15.0000000000
7630,20130515,10.6750000000
7630,20130516,10.4250000000
7630,20130517,12.6250000000
7630,20130518,12.4500000000
7630,20130519,11.4000000000
7630,20130520,12.4875000000
7630,20130521,10.4625000000
